,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
201,202,[text-embedding-3-small (embed_dim=512)](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,512.0,8191.0,,,65.38,54.15,34.42,,,,,68.97,
202,203,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),99%,1355.0,0.355,1024.0,514.0,,,,65.15,43.62,,6.5,,87.18,90.94,
203,204,[mmBERTscandi-base-embedding](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),100%,1171.0,0.307,768.0,8192.0,,,55.2,61.57,37.62,,,,,47.61,
204,205,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),99%,237.0,0.124,768.0,514.0,,,,60.4,41.21,,5.19,,87.38,91.43,
205,206,[EmbeddingGemma-Scandi-300m](https://huggingface.co/emillykkejensen/EmbeddingGemma-Scandi-300m),99%,578.0,0.308,768.0,2048.0,,,61.6,56.44,35.64,,,,,48.62,
206,207,[Qwen3-Embedding-Scandi-0.6B](https://huggingface.co/emillykkejensen/Qwen3-Embedding-Scandi-0.6B),99%,2272.0,0.596,1024.0,32768.0,,,56.89,57.41,36.59,,,,,39.51,
207,208,[voyage-multimodal-3](https://huggingface.co/voyageai/voyage-multimodal-3),100%,,,1024.0,32768.0,,,65.52,51.37,31.77,,,,,74.32,
208,209,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),99%,78.0,0.041,384.0,512.0,,,,58.55,38.87,,5.04,,87.09,90.56,
209,210,[jina-reranker-v3](https://huggingface.co/jinaai/jina-reranker-v3),97%,1138.0,0.597,,131072.0,,,,,,,,,67.84,,
210,211,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,1064.0,0.278,768.0,512.0,,,27.53,57.24,26.85,,,,,19.06,
211,212,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,2141.0,0.56,1024.0,512.0,,,19.14,59.49,23.44,,,,,20.66,
212,213,[Querit](https://huggingface.co/Querit/Querit),99%,9383.0,4.92,1024.0,4096.0,,,,,,,,,62.57,,
213,214,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,1061.0,0.278,768.0,512.0,,,70.51,,40.41,,,,,76.49,
214,215,[dfm-sentence-encoder-large](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-large),100%,1554.0,0.355,1024.0,512.0,,,50.95,53.83,22.74,,,,,42.33,
215,216,[dfm-sentence-encoder-medium](https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-medium),100%,475.0,0.124,768.0,512.0,,,62.16,47.79,3.16,,,,,41.54,
216,217,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639.0,0.336,768.0,512.0,,,,49.38,26.42,,3.02,,78.34,76.06,
217,218,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639.0,0.336,768.0,512.0,,,,49.34,29.94,,2.79,,77.42,68.57,
218,219,[m2v-dfm-large](https://huggingface.co/rasgaard/m2v-dfm-large),100%,87.0,0.023,256.0,,,,38.02,53.64,5.68,,,,,33.45,
